CustomerID,Cluster
C0001,2
C0002,2
C0003,2
C0004,3
C0005,0
C0006,2
C0007,2
C0008,3
C0009,0
C0010,2
C0011,2
C0012,1
C0013,3
C0014,0
C0015,0
C0016,2
C0017,3
C0018,1
C0019,2
C0020,0
C0021,3
C0022,1
C0023,1
C0024,1
C0025,2
C0026,2
C0027,2
C0028,3
C0029,2
C0030,2
C0031,2
C0032,0
C0033,0
C0034,1
C0035,2
C0036,0
C0037,1
C0038,2
C0039,1
C0040,2
C0041,3
C0042,0
C0043,0
C0044,2
C0045,3
C0046,3
C0047,1
C0048,2
C0049,1
C0050,2
C0051,1
C0052,2
C0053,1
C0054,3
C0055,2
C0056,2
C0057,1
C0058,0
C0059,3
C0060,0
C0061,0
C0062,0
C0063,0
C0064,1
C0065,3
C0066,2
C0067,1
C0068,3
C0069,2
C0070,2
C0071,0
C0072,2
C0073,2
C0074,2
C0075,3
C0076,2
C0077,0
C0078,0
C0079,2
C0080,0
C0081,1
C0082,3
C0083,0
C0084,3
C0085,2
C0086,2
C0087,3
C0088,2
C0089,0
C0090,1
C0091,1
C0092,2
C0093,3
C0094,2
C0095,0
C0096,1
C0097,0
C0098,1
C0099,3
C0100,1
C0101,3
C0102,3
C0103,2
C0104,3
C0105,1
C0106,2
C0107,2
C0108,1
C0109,3
C0110,0
C0111,2
C0112,2
C0113,3
C0114,1
C0115,2
C0116,2
C0117,2
C0118,2
C0119,2
C0120,2
C0121,0
C0122,1
C0123,0
C0124,1
C0125,2
C0126,1
C0127,2
C0128,0
C0129,2
C0130,0
C0131,0
C0132,0
C0133,2
C0134,2
C0135,2
C0136,1
C0137,2
C0138,1
C0139,1
C0140,0
C0141,3
C0142,2
C0143,3
C0144,0
C0145,3
C0146,2
C0147,1
C0148,1
C0149,1
C0150,0
C0151,0
C0152,2
C0153,1
C0154,1
C0155,1
C0156,3
C0157,2
C0158,2
C0159,0
C0160,2
C0161,1
C0162,3
C0163,1
C0164,2
C0165,3
C0166,2
C0167,0
C0168,2
C0169,1
C0170,1
C0171,1
C0172,2
C0173,3
C0174,2
C0175,3
C0176,2
C0177,2
C0178,2
C0179,1
C0181,1
C0182,1
C0183,2
C0184,2
C0185,2
C0186,0
C0187,1
C0188,3
C0189,2
C0190,2
C0191,2
C0192,2
C0193,2
C0194,1
C0195,1
C0196,2
C0197,2
C0198,0
C0199,2
C0200,1
